File RaireData/Input/NSW19/Terrigal.raire, Contest 1, asn 33.0, 0.06%
File RaireData/Input/NSW19/The_Entrance.raire, Contest 1, asn 80.0, 0.16%
File RaireData/Input/NSW19/Tweed.raire, Contest 1, asn 83.0, 0.17%
File RaireData/Input/NSW19/Upper_Hunter.raire, Contest 1, asn 194.0, 0.38%
File RaireData/Input/NSW19/Vaucluse.raire, Contest 1, asn 20.0, 0.04%
File RaireData/Input/NSW19/Wagga_Wagga.raire, Contest 1, asn 27.0, 0.05%
File RaireData/Input/NSW19/Wakehurst.raire, Contest 1, asn 19.0, 0.04%
File RaireData/Input/NSW19/Wallsend.raire, Contest 1, asn 17.0, 0.03%
File RaireData/Input/NSW19/Willoughby.raire, Contest 1, asn 19.0, 0.04%
File RaireData/Input/NSW19/Wollondilly.raire, Contest 1, asn 91.0, 0.17%
File RaireData/Input/NSW19/Wollongong.raire, Contest 1, asn 20.0, 0.04%
File RaireData/Input/NSW19/Wyong.raire, Contest 1, asn 32.0, 0.06%
File RaireData/Input/US/Aspen_2009_CityCouncil.raire, Contest 1, asn 249.0, 10.01%
File RaireData/Input/US/Aspen_2009_Mayor.raire, Contest 1, asn 100.0, 3.96%
File RaireData/Input/US/Berkeley_2010_D1CityCouncil.raire, Contest 1, asn 18.0, 0.32%
File RaireData/Input/US/Berkeley_2010_D4CityCouncil.raire, Contest 1, asn 31.0, 0.65%
File RaireData/Input/US/Berkeley_2010_D7CityCouncil.raire, Contest 1, asn 40.0, 0.96%
File RaireData/Input/US/Berkeley_2010_D8CityCouncil.raire, Contest 1, asn 17.0, 0.37%
File RaireData/Input/US/Oakland_2010_D4CityCouncil.raire, Contest 1, asn 33.0, 0.16%
File RaireData/Input/US/Oakland_2010_D6CityCouncil.raire, Contest 1, asn 18.0, 0.14%
File RaireData/Input/US/Oakland_2010_Mayor.raire, Contest 1, asn 499.0, 0.42%
File RaireData/Input/US/Pierce_2008_CityCouncil.raire, Contest 1, asn 70.0, 0.18%
File RaireData/Input/US/Pierce_2008_CountyAssessor.raire, Contest 1, asn 1153.0, 0.44%
File RaireData/Input/US/Pierce_2008_CountyAuditor.raire, Contest 1, asn 64.0, 0.04%
File RaireData/Input/US/Pierce_2008_CountyExecutive.raire, Contest 1, asn 671.5, 0.22%
File RaireData/Input/SpecialCases/SanFran_2007.raire, Contest 1, asn 10.0, 0.01%
